OBJECTID,Year,County Name,Shape__Area,Shape__Length,County FIPS,DistrictCount
117,2023,Alameda,3079162324.82422,435624.781963412,001,22
118,2023,Alpine,3156005636.99219,275565.411313898,003,2
119,2023,Amador,2562527965.41406,359598.555078628,005,2
120,2023,Colusa,4990771236.47656,386043.027075206,011,5
121,2023,El Dorado,7624183120.20703,467800.134269341,017,16
122,2023,Humboldt,16173236123.1445,803452.940758017,013,32
123,2023,Inyo,41088427355.6406,1058774.14051767,027,7
124,2023,Kern,31854106248.2422,861842.293687865,029,47
125,2023,Lake,5719581052.15234,468540.972719615,085,7
126,2023,Lassen,21275574670.4453,776771.749691422,035,11
127,2023,Los Angeles,15377333274.8359,743540.033427801,037,83
128,2023,Madera,8810368827.01172,599828.905391759,039,10
129,2023,Mariposa,6043147162.04688,427752.131535458,043,2
130,2023,Modoc,19477919644.8242,566359.984551143,049,3
131,2023,Mono,13062965501.6367,694807.736402832,051,3
132,2023,Monterey,13217007243.2852,780723.028586462,053,25
133,2023,Placer,6462795372.73828,533218.199809045,061,17
134,2023,Riverside,27426531917.2344,911422.624181873,065,25
135,2023,Sacramento,4205478327.49219,406562.562670372,067,14
136,2023,San Bernardino,77494136071.9375,1247144.25884329,071,34
137,2023,San Diego,15665425122.1836,688903.906621851,073,49
138,2023,San Francisco,195413151.503906,126593.307368389,075,4
139,2023,San Joaquin,5949611584.44531,418974.486409117,077,15
140,2023,San Luis Obispo,12979232018.2148,736959.093237398,079,11
141,2023,Santa Cruz,1819703908.27734,287248.055601055,023,13
142,2023,Shasta,17388082241.1758,707780.164841843,089,25
143,2023,Solano,3709337953.08594,372951.478054207,095,7
144,2023,Sonoma,6731820977.58594,507557.440227487,097,41
145,2023,Stanislaus,6251110329.03516,478221.793078128,099,26
146,2023,Trinity,14448374568.9141,802309.057798384,105,10
147,2023,Tulare,19293344845.9023,645719.77894484,107,44
148,2023,Tuolumne,9509363447.96094,628752.794095724,109,12
149,2023,Yuba,2786711202.875,362948.860486308,115,6
150,2023,Yolo,4350024108.24609,420644.077609406,113,6
151,2023,Butte,7340034927.14063,525975.048449088,023,14
152,2023,Calaveras,4356213277.06641,367005.879540296,009,5
153,2023,Contra Costa,3158979213.56641,363478.849228063,013,20
154,2023,Del Norte,4722392225.28516,381223.786900585,015,2
155,2023,Fresno,24303190846.1172,1104290.31202882,019,33
156,2023,Glenn,5796097732.69141,396797.836679877,021,9
157,2023,Imperial,16559196433.9766,593063.008758908,025,17
158,2023,Kings,5531178902.84375,354594.912430713,031,14
159,2023,Marin,2204497469.125,485422.152645957,041,18
160,2023,Mendocino,15277175720.4609,771059.258487983,045,13
161,2023,Merced,8090349670.44531,433573.850192106,047,21
162,2023,Napa,3345921098.25781,409621.312341059,055,6
163,2023,Nevada,4217591073.08984,433811.136839934,057,10
164,2023,Orange,3000297988.26953,256541.24165342,361,30
165,2023,Plumas,11549994947.3945,657319.224378911,063,2
166,2023,San Benito,5599452083.98438,456541.020532193,069,12
167,2023,San Mateo,1875619721.42578,314706.235250003,081,24
168,2023,Santa Barbara,9812202281.75,524301.650143333,083,25
169,2023,Santa Clara,5316148220.37109,449575.8537693,085,33
170,2023,Tehama,13137378334.6406,624791.491457602,103,14
171,2023,Sierra,4200449577.70313,375602.758212839,091,1
172,2023,Siskiyou,29419021694.6484,895809.415803073,093,25
173,2023,Sutter,2615351681.07813,350298.697823756,101,13
174,2023,Ventura,6997397841.64453,388319.880776121,111,20
